EESchema (20080528 SVN-R1106)  >> Creation date: 29/5/2008-14:36:02

#Cmp ( order = Reference )
| C1         100uf       ; 2mmradial   
| C2         1uf         ; 0402        
| C3         10uf        ; 0603        
| C4         0.1uf       ; 0402        
| C5         0.1uf       ; 0402        
| C6         0.1uf       ; 0402        
| C7         0.1uf       ; 0402        
| C8         0.1uf       ; 0402        
| C9         0.1uf       ; 0402        
| C10        0.1uf       ; 0402        
| C11        0.1uf       ; 0402        
| C12        10uf        ; 0603        
| C13        10uf        ; 0603        
| C14        10uf        ; 0805        
| C15        0.1uf       ; 0402        
| C16        0.1uf       ; 0402        
| C17        1uf         ; 0402        
| C18        2nf         ; 0402        
| C19        6.8nf       ; 0402        
| C20        6.8nf       ; 0402        
| C21        1uf         ; 0402        
| C22        0.01uf      ; 0402        
| C23        0.022uf     ; 0402        
| C24        0.1uf       ; 0402        
| C25        1uf         ; 0402        
| C26        0.1uf       ; 0402        
| C27        10uf        ; 0603        
| C28        0.1uf       ; 0402        
| C29        0.1uf       ; 0402        
| C30        10uf        ; 0603        
| C31        2nf         ; 0402        
| C32        10uf        ; 0603        
| C33        0.1uf       ; 0402        
| C34        0.1uf       ; 0402        
| C35        0.1uf       ; 0402        
| C36        10uf        ; 0603        
| C37        0.01uf      ; 0402        
| C38        0.001uf     ; 0402        
| C39        0.01uf      ; 0402        
| C40        0.01uf      ; 0402        
| C41        0.1uf       ; 0402        
| C42        10uf        ; 0805        
| C43        0.01uf      ; 0402        
| C44        10uf        ; 0603        
| C45        0.1uf       ; 0402        
| C46        0.1uf       ; 0402        
| C47        0.1uf       ; 0402        
| C48        0.1uf       ; 0402        
| C49        0.1uf       ; 0402        
| C50        10uf        ; 0603        
| C51        0.001uf     ; 0402        
| C52        0.1uf       ; 0402        
| C53        0.1uf       ; 0402        
| C54        0.01uf      ; 0402        
| C55        0.01uf      ; 0402        
| C56        1uf         ; 0402        
| C57        1uf         ; 0402        
| C58        1uf         ; 0402        
| C59        0.01uf      ; 0402        
| C60        0.01uf      ; 0402        
| C61        0.1uf       ; 0402        
| C62        0.01uf      ; 0402        
| C63        10uf        ; 0805        
| C64        2nf         ; 0402        
| C65        1uf         ; 0402        
| C66        1uf         ; 0402        
| C67        7pf         ; 0402        
| C68        100uf       ; 2mmradial   
| C69        1uf         ; 0402        
| C70        7pf         ; 0402        
| C71        1uf         ; 0402        
| C72        0.1uf       ; 0402        
| C73        1uf         ; 0402        
| C74        2nf         ; 0402        
| C75        100uf       ; 2mmradial   
| C76        10uf        ; 0805        
| C77        100uf       ; 2mmradial   
| C78        1uf         ; 0402        
| C79        1uf         ; 0402        
| C80        18pf        ; 0402        
| C81        1uf         ; 0402        
| C82        18pf        ; 0402        
| C83        0.1uf       ; 0402        
| C84        1uf         ; 0402        
| C85        0.01uf      ; 0402        
| C86        1uf         ; 0402        
| C87        0.1uf       ; 0402        
| C88        100uf       ; 2mmradial   
| C89        0.1uf       ; 0402        
| C90        10uf tant   ; 0805        
| C91        1uf         ; 0402        
| C92        10uf tant   ; 0805        
| C93        1uf         ; 0402        
| C94        1uf         ; 0402        
| C95        1uf         ; 0402        
| C96        1uf         ; 0402        
| C97        1uf         ; 0402        
| C98        1uf         ; 0402        
| C99        1uf         ; 0402        
| C100       1uf         ; 0402        
| C101       1uf         ; 0402        
| C102       1uf         ; 0402        
| C103       1uf         ; 0402        
| C104       1uf         ; 0402        
| C105       0.47uf      ; 0402        
| C106       0.47uf      ; 0402        
| C107       0.47uf      ; 0402        
| C108       0.47uf      ; 0402        
| C109       0.15uf      ; 0402        
| C110       0.15uf      ; 0402        
| C111       0.1uf       ; 0402        
| C112       0.1uf       ; 0402        
| C113       0.01uf      ; 0402        
| C114       0.01uf      ; 0402        
| C115       1uf         ; 0402        
| C116       1uf         ; 0402        
| C117       1uf         ; 0402        
| C118       0.47uf      ; 0402        
| C119       0.47uf      ; 0402        
| C120       0.47uf      ; 0402        
| C121       0.47uf      ; 0402        
| C122       0.15uf      ; 0402        
| C123       0.15uf      ; 0402        
| C124       0.1uf       ; 0402        
| C125       0.1uf       ; 0402        
| C126       0.01uf      ; 0402        
| C127       0.01uf      ; 0402        
| C128       1uf         ; 0402        
| C129       1uf         ; 0402        
| C130       1uf         ; 0402        
| C131       0.47uf      ; 0402        
| C132       0.47uf      ; 0402        
| C133       0.47uf      ; 0402        
| C134       0.47uf      ; 0402        
| C135       0.15uf      ; 0402        
| C136       0.15uf      ; 0402        
| C137       0.1uf       ; 0402        
| C138       0.1uf       ; 0402        
| C139       0.01uf      ; 0402        
| C140       0.01uf      ; 0402        
| C141       1uf         ; 0402        
| C142       1uf         ; 0402        
| C143       1uf         ; 0402        
| C144       0.47uf      ; 0402        
| C145       0.47uf      ; 0402        
| C146       0.47uf      ; 0402        
| C147       0.47uf      ; 0402        
| C148       0.15uf      ; 0402        
| C149       0.15uf      ; 0402        
| C150       0.1uf       ; 0402        
| C151       0.1uf       ; 0402        
| C152       0.01uf      ; 0402        
| C153       0.01uf      ; 0402        
| C154       1uf         ; 0402        
| C155       1uf         ; 0402        
| C156       1uf         ; 0402        
| C157       0.47uf      ; 0402        
| C158       0.47uf      ; 0402        
| C159       0.47uf      ; 0402        
| C160       0.47uf      ; 0402        
| C161       0.15uf      ; 0402        
| C162       0.15uf      ; 0402        
| C163       0.1uf       ; 0402        
| C164       0.1uf       ; 0402        
| C165       0.01uf      ; 0402        
| C166       0.01uf      ; 0402        
| C167       1uf         ; 0402        
| C168       1uf         ; 0402        
| C169       1uf         ; 0402        
| C170       0.47uf      ; 0402        
| C171       0.47uf      ; 0402        
| C172       0.47uf      ; 0402        
| C173       0.47uf      ; 0402        
| C174       0.15uf      ; 0402        
| C175       0.15uf      ; 0402        
| C176       0.1uf       ; 0402        
| C177       0.1uf       ; 0402        
| C178       0.01uf      ; 0402        
| C179       0.01uf      ; 0402        
| C180       1uf         ; 0402        
| C181       1uf         ; 0402        
| C182       1uf         ; 0402        
| C183       0.47uf      ; 0402        
| C184       0.47uf      ; 0402        
| C185       0.47uf      ; 0402        
| C186       0.47uf      ; 0402        
| C187       0.15uf      ; 0402        
| C188       0.15uf      ; 0402        
| C189       0.1uf       ; 0402        
| C190       0.1uf       ; 0402        
| C191       0.01uf      ; 0402        
| C192       0.01uf      ; 0402        
| C193       1uf         ; 0402        
| C194       1uf         ; 0402        
| C195       1uf         ; 0402        
| C196       0.47uf      ; 0402        
| C197       0.47uf      ; 0402        
| C198       0.47uf      ; 0402        
| C199       0.47uf      ; 0402        
| C200       0.15uf      ; 0402        
| C201       0.15uf      ; 0402        
| C202       0.1uf       ; 0402        
| C203       0.1uf       ; 0402        
| C204       0.01uf      ; 0402        
| C205       0.01uf      ; 0402        
| C206       1uf         ; 0402        
| C207       1uf         ; 0402        
| C208       1uf         ; 0402        
| C209       0.1uf       ; 0402        
| C210       1uf         ; 0402        
| C211       1uf         ; 0402        
| C212       1uf         ; 0402        
| C213       10uf        ; 0805        
| C214       10uf        ; 0805        
| C215       0.1uf       ; 0402        
| D1         uclamp0501H ; SOD-523     
| D2         uclamp0501H ; SOD-523     
| D3         uclamp0501H ; SOD-523     
| D4         uclamp0501H ; SOD-523     
| D5         LED         ; 0603        
| D6         LED         ; 0603        
| D7         uclamp0501H ; SOD-523     
| D8         uclamp0501H ; SOD-523     
| D9         uclamp0501H ; SOD-523     
| D10        UCLAMP33    ; SOD-323     
| D11        UCLAMP33    ; SOD-323     
| D12        ZENER       ; 0603        
| F1         F2110       ; 1206        
| L1         3.3uh       ; 1210        
| L2         ferrite     ; 0603        
| L3         3.3uh       ; 1210        
| L4         ferrite     ; 0603        
| L5         33uh        ; ELL6        
| L6         6.8uh       ; 1008        
| L7         ferrite     ; 0603        
| Q1         NDDS336P    ; SOT-23      
| Q2         NDS336P     ; SOT-23      
| Q3         NDS336P     ; SOT-23      
| R1         10k         ; 0402        
| R2         100k        ; 0402        
| R3         30k         ; 0402        
| R4         10k         ; 0402        
| R5         10k         ; 0402        
| R6         10k         ; 0402        
| R7         50k         ; 0402        
| R8         270         ; 0402        
| R9         25          ; 0402        
| R10        270         ; 0402        
| R11        25          ; 0402        
| R12        50          ; 0402        
| R13        100k        ; 0402        
| R14        10          ; 0402        
| R15        50          ; 0402        
| R16        50          ; 0402        
| R17        50          ; 0402        
| R18        5k          ; 0402        
| R19        10k         ; 0402        
| R20        12.4k       ; 0603        
| R21        10k         ; 0402        
| R22        180         ; 0402        
