"value","footprint","count",,"supplier","digikey","on hand? ","references",
"74HC4067BQ","VQFN-24",2,6,"America II","must call",20,"keep track of these!  Hard to find!",
"TPS72325","SOT-23-5",0,0,"arrow","on website",2,"U59 ",
"DCV010505P-U","SOP-7",5,15,"arrow","call",5,"U202 U219 U236 U253 U68 ",
"MAX4208","MSOP-8",0,0,"maxim",,5,"U174 U177 U180 U183 ",
"78250M",78250,0,0,"mouser","580-78250MVC",1,"U52 ",
"ABM10XTAL","ABM10",1,3,"mouser","815-ABM10-16-E20-T",1,"U21 ",
"THS4281","SOT-23-5",2,6,"mouser","595-THS4281DBVT",2,"U38 U37 ",
"DCP010515DBP","DIP-14-7",8,24,"mouser","595-DCP010515DBP",8,"U198 U199 U215 U216 U232 U233 U249 U250 ",
"OMNETICS_36","omnetics_36",1,3,"On-hand",,"GARY","U43 ",
"ANTENNA","chip_ant",1,3,"SFE",,1,"have one – order 2 more. ",
"NRF24L01","QFN-20",1,3,"SFE",,1,"have one",
"1uf",402,33,100,,"490-3890-1-ND",,"C70 C68 C71 C69 C184 C185 C191 C192 C193 C194 C200 C201 C202 C203 C209 C210 C211 C212 C218 C219 C103 C104 C110 C109 C108 C107 C59 C27 C46 C21 C17 C1 C48 ",
"0.1uf",402,22,66,,"PCC2146CT-ND",,"C72 C73 C81 C83 C80 C106 C11 C52 C54 C7 C58 C10 C14 C5 C6 C18 C25 C51 C357 C360 C359 C9 ",
"10k",402,20,60,,"RHM10KJCT-ND",,"R61 R62 R65 R68 R69 R72 R75 R76 R79 R82 R83 R86 R21 R22 R24 R25 R1 R6 R7 R8 ",
"2.2uf",402,20,60,,"PCC2421CT-ND",,"C75 C74 C76 C62 C63 C64 C65 C82 C77 C66 C91 C92 C93 C94 C95 C88 C3 C105 C356 C358 ",
50,402,16,48,,"311-51.0LRCT-ND",,"R26 R28 R30 R32 R34 R36 R38 R40 R27 R29 R31 R33 R35 R37 R39 R41 ",
"0.01uf",402,8,24,,"PCC103BQCT-ND",,"C55 C24 C78 C79 C87 C96 C86 C2 ",
"1.5nf",402,0,0,,"PCC152BQCT-ND",,"C98 C99 C100 C101 C187 C196 C205 C214 ",
