"value","footprint","n",
"NPN","MINI-3",64,
"NPN",,"--",
"PNP","MINI-3",48,
"1uf",,"--",
"1uf","0603",48,
"1uf",,"--",
"5k",,,
"5k","0603",44,
"5k",,,
"47k","0603",40,
"1k","0603",32,
"33pf","0603",28,
"D","SOT-323",24,
"10k","0402",20,
"50","0402",16,
"100pf","0603",16,
"2M","0603",16,
"LED","0603",16,
"100","0603",13,
"1M","0603",12,
"uclamp33","SOD-523",10,
"1.5nf","0402",8,"NOT HERE!!"
"100k","0603",8,
"40k","0603",8,
"75k","0603",8,
"D1503","SOT-23",8,
"LMC7211","SOT-23-5",8,
"0.01uf","0402",6,
"100k","0402",6,
"10k","0603",6,
"BAT54S","SOT-23",6,
"170k","0402",4,
"1k","0402",4,
"2.7k","0402",4,
"270pf","0402",4,
"33k","0402",4,
"500pf","0603",4,
"LMV321","SC-70-5",4,
"74LVC2G04","SOT-23-6",4,
"0.001uf","0402",3,
"50k","0402",3,
"uclamp0501","SOD-523",3,
"8pf","0402",2,
"1.5pF","0402",1,
"135k","0402",1,
"15k","0402",1,
"1pF","0402",1,
"2.2nF","0402",1,
"2.7nH","0402",1,
"220k","0402",1,
"22K","0402",1,
"270k","0402",1,
"3.9nH","0402",1,
"33nF","0402",1,
"33pf","0402",1,
"4.7pF","0402",1,
"4.7pf","0402",1,
"5k","0402",1,
"7pf","0402",1,
"8.2nH","0402",1,
"825k","0402",1,
"90k","0402",1,
"0.1uf","0603",1,
"TPS71718","SC-70-5",1,
"TPS71733","SC-70-5",1,
"LP2985-40","SOT-23-5",1,
"TPS72325","SOT-23-5",1,
"TPS73025","SOT-23-5",1,
