"value","footprint","count","2cnt","Digi-key pn","references",
50,402,27,54,"311-49.9UCT-ND","R48 R53 R20 R1 R29 R31 R33 R35 R37 R39 R41 R43 R24 R18 R13 R14 R17 R42 R40 R38 R36 R34 R32 R30 R28 R55 R54 ",
"0.1uf",402,23,46,"490-1327-1-ND","C52 C51 C50 C56 C57 C58 C15 C19 C27 C29 C30 C5 C8 C31 C9 C10 C6 C7 C40 C45 C44 C32 C60 ",
"LED",603,16,32,"754-1357-1-ND","D5 D7 D9 D11 D13 D15 D17 D19 D18 D16 D14 D12 D10 D8 D6 D4 ",
"2.2uf",402,9,18,"490-4518-1-ND","C53 C49 C46 C47 C48 C54 C59 C55 C3 ",
"10k",402,6,12,"P10KJCT-ND","R27 R16 R21 R22 R23 R26 ",
"10uf",603,6,12,"399-5504-1-ND","C23 C24 C17 C21 C26 C4 ",
"1uf",402,5,10,"490-3890-1-ND","C41 C20 C14 C11 Designed in Kicadocaml ",
200,402,3,6,"541-200JCT-ND","R5 R6 R7 ",
"0.001uf",402,3,6,"490-3244-1-ND","C36 C34 C33 ",
"0.01uf",402,3,6,"490-1312-1-ND","C37 C18 C2 ",
"50k",402,3,6,"P51KJCT-ND","R19 R15 R56 ",
"ferrite",402,3,6,"587-1861-1-ND","L7 L8 L6 ",
"uclamp0501","SOD-523",3,6,"UCLAMP0501HCT-ND","D3 D2 D1 ",
"74LCX541","TSSOP-20",3,6,"74LCX541MTCXCT-ND","U17 U23 U22 ",
33,402,2,4,"541-33.0LCT-ND","R3 R4 ",
"15k",402,2,4,"541-15.0KLCT-ND","R44 R49 ",
"25.2k",402,2,4,"541-25.5KLCT-ND","R46 R50 ",
"4.7pF",402,2,4,"490-1273-1-ND","C28 C38 ",
"7.5k",402,2,4,"541-7.50KLCT-ND","R47 R52 ",
"8pf",402,2,4,"490-3212-1-ND","C12 C16 ",
"2.2uh",1210,2,4,"587-1623-6-ND","L1 L2 ",
"RHA2116","QFN-40",2,4,,"U25 U29 ",
"ADCS7476","SOT-23-6",2,4,"ADCS7476AIMFCT-ND","U28 U30 ",
"1.5pF",402,1,2,"490-3087-1-ND","C39 ",
"107k",402,1,2,"P107KLCT-ND","R8 ",
"1pF",402,1,2,"587-1861-1-ND","C42 "," Durham NC "
"2.2nF",402,1,2,"490-1305-1-ND","C43 ",
"2.7nH",402,1,2,"PCD1851CT-ND","L5 ",
"220k",402,1,2,"541-220KLCT-ND","R9 ",
"22K",402,1,2,"541-22KJCT-ND","R25 ",
"270k",402,1,2,"P270KJCT-ND","R12 ",
"3.9nH",402,1,2,"732-1711-1-ND","L4 ",
"33nF",402,1,2,"PCC332BQCT-ND","C35 ",
"33pf",402,1,2,"712-1297-1-ND","C22 ",
"5k",402,1,2,"541-4.99KLCT-ND","R2 ",
"7pf",402,1,2,"490-3107-1-ND","C25 ",
"8.2nH",402,1,2,"732-1719-1-ND","L3 ",
"825k",402,1,2,"P825KLCT-ND","R10 ",
"90k",402,1,2,"541-90.9KLCT-ND","R11 ",
"150uf","2x100mil",1,2,"493-1520-ND","C13 ",
"7/4/2010 Tim Hanson","7x100mil",1,2,"A26553-ND","Duke",
"ADSP_JTAG_CON","7x2x100",1,2,"A26577-ND","U15 ",
"ABM10XTAL","ABM10",1,2,"815-ABM10-16-E20-T","U13 ","Mouser!"
"ANTENNA","chip_ant",1,2,,"U21 ","SFE!"
"RS232_CON","DB9",1,2,"A32115-ND","U5 ",
"FCI_USB_B","FCI_USB_B",1,2,"609-1039-ND","U7 ",
"GT12MABE","GT12MABE",1,2,"CKN9048-ND","U8 ",
"BF532-160","MBGA-160",1,2,"ADSP-BF532SBBCZ400-ND","U14 ","must order directly from ADI – ADSP-BF532SBBC400"
"NX3225SA","NDK_XTAL",1,2,"644-1047-1-ND","U4 ",
"OMNETICS_36","omnetics_36",1,2,,"U24 ","gary"
"TPS62410","QFN-10",1,2,"296-25650-1-ND","U9 ","using the 20 version, not the 10 version."
"NRF24L01","QFN-20",1,2,,"U16 ","SFE!"
"MAX6711Z","SC-70-4",1,2,"MAX6711ZEXS+TCT-ND","U19 ",
"MIC5365","SC-70-5",1,2,"576-3319-1-ND","U26 ",
"TC1016","SC-70-5",1,2,"TC1016-3.0VLTCT-ND","U27 ",
"TPS71733","SC-70-5",1,2,"296-27047-1-ND","U1 ",
"MAX3421E","TQFP-32",1,2,"MAX3421EEHJ+-ND","U3 ",
"ADM3202","TSSOP-16",1,2,"ADM3202ARWZ-ND","U2 ",
"AT25DF041-MHF","UFDN-8",1,2,"AT25DF041A-MHF-Y-ND","U18 ",
