"value","footprint","count","references"
"ferrite",402,3,"L3 L4 "
"94k",402,3,"R87 R5 R6"
"810k",402,1,"R4 "
"8.2nH",402,1,"L3 "
"7pf",402,5,"C16 C23 C22 C21 C14"
"7k",402,4,"R39 R51 R63 R75 "
"700k",402,1,"R14 "
"5k",402,4,"R74 R73 R76 R75 "
"50k",402,17,"R8 R21 R22 R23 R18 R24 R19 R20 R25 R29 R30 R50 R51 R53 R55 | R21 R17"
"4.7pF",402,2,"C17 C28 "
"3k",402,4,"R78 R77 R80 R79 "
"33pf",402,5,"C82 C83 C17 "
"33nF",402,1,"C25 "
"3.9nH",402,1,"L4 "
"270k",402,1,"R16 "
"25.2k",402,4,"R38 R50 R62 R74 "
"22k",402,9,"R26 R29 R23 | R28 R86 R9 R10 R11 R12 "
"200k",402,1,"R13 "
"2.7nH",402,1,"L5 "
"2.2uf",402,20,"C37 C36 C35 C38 C42 C45 C44 C43 C46 C50 C53 C52 C51 C54 C58 C61 C60 C59 C62 C66 "
"2.2uf",402,6,"C95 C96 C98 C92 C34 C24 "
"2.2nF",402,1,"C32 "
"1uf",402,16,"C69 C66 C40 C18 C7 C48 C32 C5 C3 C60 C39 C41 C61 C62 | C30 C9"
"1pF",402,1,"C31 "
"1nf",402,2,"C68 C67 "
"1k",402,15,"R89 R90 R91 R92 R94 R95 R93 R96 R97 R98 R99 R100 R101 R102 R88 "
"180k",402,1,"R3 "
"15pf",402,3,"C54 C53 C52 "
"15k",402,4,"R37 R49 R61 R73 "
"12.1k",402,1,"R31 "
"115k",402,1,"R15 "
"10k",402,10,"R41 R26 R27 R28 R15 R17 | R30 R18 R24 R25 "
"100pf",402,16,"C104 C106 C108 C110 C114 C116 C112 C118 C120 C122 C124 C126 C128 C130 C51 C102 "
"1.5pF",402,1,"C29 "
"0.1uf",402,86,"C64 C63 C72 C84 C74 C75 C85 C87 C77 C76 C86 C90 C80 C81 C91 C89 C79 C78 C88 C97 C99 C2 C38 C12 C9 C14 C15 C50 C56 C55 C37 C33 C8 C6 C10 C11 C42 C36 C31 C28 C26 C49 C47 C13 C46 C132 C133 C134 C135 C137 C138 C136 C139 C140 C141 C142 C143 C144 C145 C131 C146 C147 "
"0.01uf",402,6,"C35 C30 C27 C25 | C27 C7 "
"0.001uf",402,3,"C26 C24 C23 "
200,402,30,"R41 R40 R42 R35 R36 R53 R52 R54 R47 R48 R65 R64 R66 R59 R60 R77 R76 R78 R71 R72 R9 R10 R11 R12 "
130,402,34,"R58 R60 R62 R64 R66 R68 R70 R72 R71 R69 R67 R65 R63 R61 R59 R57 R36 R37 R40 R42 R43 R44 R45 R46 R47 R48 R49 R104 R107 R105 R108 R106 R109 R103 "
49.9,402,12,"R35 R34 R33 R32 | R8 R7 R6 R5 R1 R2 R3 R4 "
33,402,14,"R81 R16 R2 R1 R7 R52 R13 R14 R54 R56 | R22 R27 R20 R19 "
"LED",603,25,"D17 D2 D4 D6 D8 D10 D12 D14 D16 D15 D13 D11 D9 D7 D5 D3 D1 | D8 D7 D6 D5 D1 D2 D3 D4 "
"22uh",603,15,"L6 L7 L8 L9 L11 L12 L10 L13 L14 L15 L16 L17 L18 L19 L5 "
"10uf",603,16,"C65 C94 C100 C19 C20 C4 C43 C29 C45 C44 | C12 C13 C6 C10 C15 C1 "
"2.2uh",1210,4,"L1 L2 | L1 L2"
"200uf",2917,5,"C70 C71 C73 C93 | C1"
"10X100","11x100mil",1,"U31 "
"BATTERY","18650-holder",1,"BT1 "
"VEE","2x100mil",4,"U2 U1 U10 U8"
"TESTCON","7x100mil",2,"U21 "
"ADSP_JTAG_CON","7x2x100",2,"U16 "
"NRF24L01-BREAK","8x100mil",3,"U24 U25 U26 "
"ABM10XTAL-25","ABM10",1,"U9 "
"ABM10XTAL-24","ABM10",1,"U12 "
