value,footprint,count,references
08,TP,1,TP10 
LED,0603,8,D8 D7 D6 D5 D1 D2 D3 D4 
1pF,0402,1,C31 
28,TP,1,TP9 
MAX6711Z,SC-70-4,1,U11 
700k,0402,1,R14 
0.1uf,0402,24,C41 C40 C39 C49 C48 C47 C57 C56 C55 C65 C64 C63 C3 C8 C16 C18 C19 C20 C34 C21 C22 C5 C4 C2 
2.2uf,0402,20,C37 C36 C35 C38 C42 C45 C44 C43 C46 C50 C53 C52 C51 C54 C58 C61 C60 C59 C62 C66 
0.001uf,0402,3,C26 C24 C23 
MIC5365-2.7,SC-70-5,4,U15 U22 U29 U36 
200,0402,24,R41 R40 R42 R35 R36 R53 R52 R54 R47 R48 R65 R64 R66 R59 R60 R77 R76 R78 R71 R72 R9 R10 R11 R12 
1uf,0402,2,C30 C9 
DR0PRI,TP,1,TP8 
22K,0402,1,R28 
7pf,0402,1,C14 
22k,0402,3,R26 R29 R23 
ADSP_JTAG_CON,7x2x100,1,U7 
50k,0402,2,R21 R17 
270k,0402,1,R16 
10uf,0603,6,C12 C13 C6 C10 C15 C1 
TC1016-3.0,SC-70-5,4,U16 U23 U30 U37 
RFS0,TP,1,TP7 
RHA2132,QFN-56,4,U42 U43 U44 U45 
115k,0402,1,R15 
25.2k,0402,4,R38 R50 R62 R74 
4.7pF,0402,2,C17 C28 
PF8_STEP,TP,1,TP5 
NRF24L01,QFN-20,1,U8 
TPS62410,QFN-10,1,U4 
PF3_nRF-IRQ,TP,1,TP3 
ferrite,0402,1,L6 
RSCLK0,TP,1,TP6 
OMNETICS_36,omnetics_36_dual,4,U14 U21 U28 U35 
0,0201,16,R32 R33 R31 R34 R44 R45 R43 R46 R56 R57 R55 R58 R68 R69 R67 R70 
BF532-160,MBGA-160,1,U6 
1.5pF,0402,1,C29 
2.7nH,0402,1,L5 
33,0402,4,R22 R27 R20 R19 
3.9nH,0402,1,L4 
200k,0402,1,R13 
50,0402,8,R8 R7 R6 R5 R1 R2 R3 R4 
ADCS7476,SOT-23-6,4,U19 U26 U33 U40 
2.2uh,1210,2,L1 L2 
8.2nH,0402,1,L3 
0.01uf,0402,2,C27 C7 
10k,0402,4,R30 R18 R24 R25 
33nF,0402,1,C25 
PF0_nRF-CE,TP,1,TP1 
VEE,2x100mil,1,U1 
7k,0402,4,R39 R51 R63 R75 
ABM10XTAL-16,ABM10,1,U5 
PF1_nRF-CSN,TP,1,TP2 
2.2nF,0402,1,C32 
TESTCON,7x100mil,1,1/18/2011 Tim Hanson, Duke, Durham NC 
33pf,0402,2,C11 Designed in Kicadocaml 
74LCX541,TSSOP-20,2,U10 U2 
ANTENNA,chip_ant,1,U12 
PF4,TP,1,TP4 
15k,0402,4,R37 R49 R61 R73 
9X100,omnetics_9,9,U18 U20 U25 U27 U32 U34 U39 U41 U3 
SST25VF040B,SOIC-8,1,U9 
