"value","footprint","count","stock","Digi-key pn",,"references"
"DCP01DB","DIP-14-7",1,2,,,"U46"
"10X100","11x100mil",1,5,,,"U31"
"ANTENNA","chip_ant",1,6,,,"U12"
"TC1016-3.0","SC-70-5",5,6,,,"U16 U23 U30 U37 | U45"
"FCI_USB_B","FCI_USB_B",1,7,,,"U6"
"ABM10XTAL-25","ABM10",1,8,,,"U9"
"ABM10XTAL-24","ABM10",1,8,,,"U12"
"RS232-CON","DB9",1,8,,,"U1"
"BF532-160","MBGA-160",1,8,,,"U6"
"BF527","MBGA-208",1,8,,,"U13"
"SFE-MAGJACK","SFE-MAGJACK",1,8,,,"U19"
"ADM3202","TSSOP-16",1,8,,,"U3"
"NRF24L01-BREAK","8x100mil",3,9,,,"U24 U25 U26"
"LAN8710A","QFN-32",1,9,,,"U17"
"MT48LC16M16A2","VFBGA-54",1,9,,,"U7"
"ADSP_JTAG_CON","7x2x100",2,15,,,"U16"
"NRF24L01","QFN-20",1,15,,,"U8"
"ABM10XTAL-16","ABM10",1,16,,,"U5"
"IL715-3","SOIC-16",9,16,,,"U35 U36 U38 U37 U41 U42 U40 U39 U47"
"GT12MABE","GT12MABE",2,17,,,"U34 U5"
"AD5663","MSOP-10",1,18,,,"U28"
"AUDIO_JACK","SJ1-3533",1,18,,,"U30"
"LM4808","SOIC-8",1,18,,,"U29"
"VEE","2x100mil",4,20,,,"U2 U1 U10 U8"
"TESTCON","7x100mil",2,20,,,"U21"
"TPS62410","QFN-10",2,26,,,"U4 | U4"
"200uf",2917,5,30,,,"C70 C71 C73 C93 | C1"
"SST25VF040B","SOIC-8",2,30,,,"U15 | U9"
"2.2uh",1210,4,50,,,"L1 L2 | L1 L2"
"74LCX541","TSSOP-20",5,70,,,"U18 U23 U22 | U10 U2"
"3k",402,4,"3.3k",,"3.3k ok","R78 R77 R80 R79"
"810k",402,1,"825k",,"825k is ok – 3.35V","R4"
"OMNETICS_36","omnetics_36_dual",4,"gary",,,"U14 U21 U28 U35"
"9X100","omnetics_9",9,"gary",,,"U18 U20 U25 U27 U32 U34 U39 U41 U3"
"9X100","omnetics_9",1,"gary",,,"U43"
"6533-CONN","SCSI68",1,"home",,,"U33"
"RHA2132","QFN-56",4,"tamara",,,"U42 U43 U44 U45"
"0.1uf",402,86,"y",,,"C64 C63 C72 C84 C74 C75 C85 C87 C77 C76 C86 C90 C80 C81 C91 C89 C79 C78 C88 C97 C99 C2 C38 C12 C9 C14 C15 C50 C56 C55 C37 C33 C8 C6 C10 C11 C42 C36 C31 C28 C26 C49 C47 C13 C46 C132 C133 C134 C135 C137 C138 C136 C139 C140 C141 C142 C143 C144 C145 C131 C146 C147"
200,402,30,"y",,,"R41 R40 R42 R35 R36 R53 R52 R54 R47 R48 R65 R64 R66 R59 R60 R77 R76 R78 R71 R72 R9 R10 R11 R12"
"2.2uf",402,26,"y",,,"C37 C36 C35 C38 C42 C45 C44 C43 C46 C50 C53 C52 C51 C54 C58 C61 C60 C59 C62 C66"
"50k",402,17,"y",,,"R8 R21 R22 R23 R18 R24 R19 R20 R25 R29 R30 R50 R51 R53 R55 | R21 R17"
"1uf",402,16,"y",,,"C69 C66 C40 C18 C7 C48 C32 C5 C3 C60 C39 C41 C61 C62 | C30 C9"
"100pf",402,16,"y",,,"C104 C106 C108 C110 C114 C116 C112 C118 C120 C122 C124 C126 C128 C130 C51 C102"
33,402,14,"y",,,"R81 R16 R2 R1 R7 R52 R13 R14 R54 R56 | R22 R27 R20 R19"
49.9,402,12,"y",,,"R35 R34 R33 R32 | R8 R7 R6 R5 R1 R2 R3 R4"
"22k",402,9,"y",,,"R26 R29 R23 | R28 R86 R9 R10 R11 R12"
"0.01uf",402,6,"y",,,"C35 C30 C27 C25 | C27 C7"
"7pf",402,5,"y",,,"C16 C23 C22 C21 C14"
"33pf",402,5,"y",,,"C82 C83 C17"
"5k",402,4,"y",,,"R74 R73 R76 R75"
"25.2k",402,4,"y",,,"R38 R50 R62 R74"
"ferrite",402,3,"y",,,"L3 L4"
"4.7pF",402,2,"y",,,"C17 C28"
"1nf",402,2,"y",,,"C68 C67"
