rows:900 cols:2
0.26965 -0.079893 
0.49429 0.89848 
-1.4831 0.1837 
-1.0203 0.29079 
-0.447 0.11294 
0.10966 0.43995 
1.1287 0.10166 
-0.28996 2.7873 
1.2616 -1.1667 
0.47542 -1.8543 
1.1741 -1.1407 
0.12695 -1.0933 
-0.65682 -0.43361 
-1.4814 -0.16847 
0.15549 -0.21853 
0.81855 0.54133 
-0.29259 0.38927 
-0.54079 0.75123 
-0.30864 1.7783 
-1.0966 1.2231 
-0.49301 -1.2833 
-0.18074 -2.329 
0.045841 0.90193 
-0.063783 -1.8356 
0.61134 0.066757 
0.10932 0.035479 
1.814 2.2272 
0.31202 -0.069214 
1.8045 -0.50732 
-0.72312 0.23581 
0.52655 0.2458 
-0.26025 0.070045 
0.60014 -0.60858 
0.59393 -1.2226 
-2.186 0.3165 
-1.327 -1.3429 
-1.441 -1.0322 
0.40184 1.3312 
1.4702 -0.4189 
-0.32681 -0.14032 
0.81232 0.89982 
0.54554 -0.30011 
-1.0516 1.0294 
0.39747 -0.34507 
-0.75189 1.0128 
1.5163 0.62933 
-0.032567 -0.21302 
1.636 -0.8657 
-0.42506 -1.0431 
0.58943 -0.27007 
-0.062791 -0.43814 
-2.022 -0.40867 
-0.98213 0.98355 
0.61251 -0.2977 
-0.054886 1.1437 
-1.1187 -0.53162 
-0.62638 0.97257 
0.24952 -0.52225 
-0.99302 0.17658 
0.97495 0.97074 
-0.64071 -0.41397 
1.8089 -0.43827 
-1.0799 2.0034 
0.19919 0.95099 
-1.521 -0.432 
-0.72363 0.64894 
-0.59325 -0.36008 
0.40134 0.70589 
0.94213 1.4158 
0.30049 -1.6045 
-0.37307 1.0289 
0.81549 1.458 
0.79889 0.047471 
0.12021 1.7463 
0.57125 0.15539 
0.4128 -1.2371 
-0.98696 -2.1935 
0.75957 -0.33341 
-0.6572 0.71354 
-0.60392 0.31741 
0.17695 0.41361 
-0.3075 -0.57709 
-0.13182 0.144 
0.59536 -1.6387 
1.0468 -0.76009 
-0.19796 -0.81879 
0.32768 0.51973 
-0.2383 -0.01416 
0.2296 -1.1555 
0.44 -0.0095249 
-0.61687 -0.68981 
0.27484 -0.6667 
0.6011 0.86415 
0.092308 0.11342 
1.7298 0.39836 
-0.60856 0.88397 
-0.73706 0.18026 
-1.7499 0.55085 
0.91048 0.68296 
0.86708 1.1706 
3.4759 4.9085 
4.4122 3.1222 
3.0226 4.047 
2.9521 2.7731 
4.7013 2.8375 
2.4903 3.6901 
2.9971 3.5558 
3.9199 1.8797 
3.1498 1.4673 
4.4049 1.9021 
4.0341 1.5842 
3.2916 3.0596 
2.2223 2.5887 
3.5667 2.632 
1.6174 1.639 
3.2445 3.7796 
3.8084 3.4394 
3.213 2.9104 
3.8797 4.0212 
5.0389 2.126 
3.9239 3.4147 
3.2669 3.3484 
3.6417 3.3493 
3.4255 2.2708 
1.6853 3.3268 
2.5836 2.4851 
4.2247 2.1036 
2.9564 1.7967 
3.5824 4.0378 
1.9935 2.1541 
3.0645 2.8271 
3.6003 1.7913 
1.6385 2.7029 
3.3476 -0.23204 
2.8182 1.913 
2.0605 1.5736 
2.9625 1.9855 
1.1037 2.7867 
0.87202 2.6747 
1.8231 4.9444 
2.0095 2.4282 
1.827 2.75 
1.2746 1.4307 
3.2882 2.5226 
1.4058 1.662 
3.1102 3.0303 
3.7871 3.8531 
2.9978 3.4043 
3.0931 2.2994 
2.6218 1.3695 
1.5173 4.46 
2.9562 5.05 
3.9608 3.1205 
4.7382 2.0101 
2.5698 4.1978 
1.3727 2.4073 
3.1663 2.5302 
3.3763 3.8864 
2.773 1.6148 
1.8511 1.0432 
5.0243 3.4207 
0.64048 3.4007 
2.49 3.0951 
1.6784 3.4967 
2.3639 4.0822 
3.3179 3.9704 
3.138 2.4314 
2.2893 3.81 
3.777 3.1732 
3.6224 2.4945 
3.6474 1.8067 
2.5744 3.647 
4.0486 2.6464 
3.6607 3.0464 
5.5088 2.2071 
4.0635 1.4495 
4.1569 3.1716 
3.053 2.9379 
1.7116 4.199 
2.6288 3.8017 
2.2422 4.0533 
2.436 2.2511 
3.5551 2.0637 
2.4432 1.7309 
2.1049 3.498 
2.5907 5.7891 
2.8391 3.7276 
3.4093 2.2269 
2.0474 3.8366 
3.3173 1.8717 
3.078 1.5755 
4.3244 3.7174 
2.7868 2.2221 
2.8655 3.316 
1.8286 4.4065 
1.6147 3.4011 
3.3105 3.9297 
2.7505 1.3942 
3.5037 3.6615 
2.1073 5.1385 
-2.4589 3.4364 
-4.5409 2.4956 
-3.2031 3.1021 
-3.5 4.1963 
