value,footprint,count,references
0.1uf,0603,1,C71 
REG101,SOIC-8,1,U39 
LED,0603,4,D4 D5 D6 D7 
8X2X100,2x8x100mil,2,U32 U23 
1pF,0402,1,C47 
2.2uh,0805,2,L1 L2 
JUMP,2x100mil,8,U25 U40 U33 U2 U10 U11 U1 U13 
3.3k,0603,1,R38 
ABM10XTAL,ABM10,1,U14 
OMNETICS_36,omnetics_36,1,U145 
47k,0402,4,R51 R52 R67 R68 
0.1uf,0402,15,C59 C60 C85 C86 C83 C6 C39 C41 C2 C45 C7 C10 C3 C4 C144 
2.2uf,0402,11,C64 C63 C54 C61 C62 C55 C53 C49 C50 C51 C52 
2.2k,0402,8,R26 R27 R28 R29 R30 R31 R32 R33 
9.2k,0402,4,R53 R54 R69 R70 
ADM3202,TSSOP-16,1,U4 
BAT54A,SOT-23,1,U9 
LMV1032,microSMD-4,96,U47 U48 U49 U50 U51 U52 U53 U54 U55 U56 U57 U58 U59 U60 U61 U62 U63 U64 U65 U66 U67 U68 U69 U70 U71 U72 U73 U74 U75 U76 U77 U78 U79 U80 U81 U82 U83 U84 U85 U86 U87 U88 U89 U90 U91 U92 U93 U94 U95 U96 U97 U98 U99 U100 U101 U102 U103 U104 U105 U106 U107 U108 U109 U110 U111 U112 U113 U114 U115 U116 U117 U118 U119 U120 U121 U122 U123 U124 U125 U126 U127 U128 U129 U130 U131 U132 U133 U134 U135 U136 U137 U138 U139 U140 U141 U142 
150uf,2x100mil,1,C145 
UCLAMP33,SOD-323,2,D8 D9 
0.001uf,0402,9,C40 C11 C14 C8 C26 C27 C25 C142 C141 
1uf,0402,22,C119 C121 C120 C122 C123 C128 C129 C130 C132 C131 C133 C134 C139 C140 C46 C19 C21 C32 C33 C35 C15 C12 
10nf,0603,1,C72 
TPS71727,SC-70-5,2,U26 U27 
VAL**,2.9mm_hole,5,2.9mm_hole 2.9mm_hole 2.9mm_hole 2.9mm_hole 2.9mm_hole 
20k,0402,4,R47 R48 R63 R64 
1uf,0603,7,C73 C70 C69 C68 C67 C77 C79 
22K,0402,1,R19 
7pf,0402,1,C28 
22k,0402,4,R57 R58 R73 R74 
68nf,0402,4,C124 C125 C135 C136 
ADSP_JTAG_CON,7x2x100,1,U12 
50k,0402,2,R15 R10 
270k,0402,1,R8 
10uf,0603,6,C22 C23 C9 C24 C34 C1 
MCP3304,SOIC-16,1,U42 
0.012uf,0402,5,C65 C66 C57 C58 C56 
4.7pF,0402,1,C43 
OPA4348,TSSOP-14,2,U143 U144 
FCI_USB_B,FCI_USB_B,1,U147 
4.7uf,0603,9,C75 C76 C80 C81 C74 C82 C84 C78 C143 
327k,0402,4,R34 R35 R41 R42 
220k,0402,1,R5 
5pf,0402,1,C30 
NRF24L01,QFN-20,1,U17 
TPS62410,QFN-10,1,U6 
ADUM2400,SOICW-16,2,U46 U45 
12.5k,0402,4,R45 R46 R61 R62 
MAX6711,SC-70-4,1,U20 
ferrite,0402,1,L6 
6.5k,0402,4,R55 R56 R71 R72 
8pf,0402,2,C13 C17 
33k,0402,4,R49 R50 R65 R66 
ZR4040-2.5,SOT-23,1,U44 
TLE2426,SOIC-8,1,U38 
uclamp0501,SOD-523,3,D3 D2 D1 
MAX3421E,TQFP-32,1,U3 
BF532-160,MBGA-160,1,U15 
RS232_CON,DB9,1,U8 
1.5pF,0402,1,C44 
TP,TP,12,TP1 TP2 TP4 TP3 TP5 TP6 TP7 TP8 TP10 TP9 TP11 TP12 
2.7nH,0402,1,L5 
25,0402,3,R16 R14 R13 
0.047uf,0402,32,C87 C88 C89 C90 C91 C92 C93 C94 C95 C96 C97 C98 C99 C100 C101 C102 C103 C104 C105 C106 C107 C108 C109 C110 C111 C112 C113 C114 C115 C116 C117 C118 
90k,0402,1,R7 
825k,0402,1,R6 
33,0402,7,R3 R4 R1 R22 R23 R24 R25 
BAV199,SOT-363,4,U34 U35 U36 U37 
3.9nH,0402,1,L4 
ADCS7476,SOT-23-6,2,U31 U30 
3k,0402,4,R43 R44 R59 R60 
8.2nH,0402,1,L3 
INDUCTOR,0603,2,L7 L8 
0.01uf,0402,12,C126 C127 C137 C138 C42 C16 C18 C29 C31 C36 C38 C5 
10k,0402,7,R17 R18 R20 R21 R9 R11 R12 
33nF,0402,1,C37 
NX3225SA,NDK_XTAL,1,U5 
2.2nF,0402,1,C48 
100k,0402,1,R2 
TESTCON,7x100mil,2,U21 U16 
AT45DB081D,SOIC-8,1,U18 
33pf,0402,1,C20 
8X100,8x100mil,1,U43 
ISL28470,QSOP-28,1,U41 
74LCX541,TSSOP-20,2,U19 U22 
ANTENNA,chip_ant,1,U146 
ADG726,LFCSP-48,1,U24 
THS4281,SOT-23-5,2,U29 U28 
3.3k,0402,4,R36 R37 R39 R40 
