"value","footprint","count"
"2.2uf","1206",33
"22uf","0805",10
"1uf","1210",8
"LED","2x100mil",8
"DCP01DB","DIP-14-7",8
"HCNR200","GW-8",8
"VAL**","2.9mm_hole",6
"DCV01","SOP-7",5
"V0","2x100mil",4
"6X100","6x100mil",4
"FCI_USB_B","FCI_USB_A",4
"MAX4208","MSOP-8",4
"IL715-3","SOIC-16",4
"LM358","SOIC-8",4
"MCP4822","SOIC-8",4
"TC7WO8F","SOP-8",4
"LM324","TSSOP-14",4
"74LCX541","TSSOP-20",3
"10X2X100","10x2x100mil",2
"2.2uh","1210",2
"100uf","2x100mil",2
"Si8440BB-D-IS","SOICW-16",2
"MAX3004","TSSOP-20",2
"10X100","11x100mil",1
"3.3uh","1210",1
"8X100","1725711",1
"150uf","2x100mil",1
"CLKOUT","2x100mil",1
"DIODE","2x100mil",1
"EN_BF","2x100mil",1
"EN_DAQ","2x100mil",1
"EN_VCC","2x100mil",1
"EN_VDD","2x100mil",1
"GND","2x100mil",1
"TEST_SIG","2x100mil",1
"TEST_SPLY","2x100mil",1
"VAA_2.0","2x100mil",1
"VAA_VDD","2x100mil",1
"VCC_1.2","2x100mil",1
"VEE","2x100mil",1
"5.5MMJACK","5.5mmjack3",1
"78250M","78250",1
"TESTCON","7x100mil",1
"ADSP_JTAG_CON","7x2x100",1
"ABM10XTAL","ABM10",1
"ANTENNA","chip_ant",1
"RS232_CON","DB9",1
"FCI_USB_B","FCI_USB_B",1
"BF532-160","MBGA-160",1
"FAN2001","MLP-6",1
"NX3225SA","NDK_XTAL",1
"OMNETICS_36","omnetics_36",1
"TPS62410","QFN-10",1
"NRF24L01","QFN-20",1
"NI-6533","SCSI68",1
"MCP3304","SOIC-16",1
"MAX253","SOIC-8",1
"SW_DPDT","SW_7201",1
"MAX3421E","TQFP-32",1
"OPA4348","TSSOP-14",1
"ADM3202","TSSOP-16",1
"74HC245","TSSOP-20",1
"74HC4067BQ","VQFN-24",1
