"value"	"footprint"	"count"	"references"
"0.1uf"	402	62	"C64 C63 C72 C84 C74 C75 C85 C87 C77 C76 C86 C90 C80 C81 C91 C89 C79 C78 C88 C97 C99 C2 C38 C12 C9 C14 C15 C50 C56 C55 C37 C33 C8 C6 C10 C11 C42 C36 C31 C28 C26 C49 C47 C13 C46 C132 C133 C134 C135 C137 C138 C136 C139 C140 C141 C142 C143 C144 C145 C131 C146 C147 "
200	402	22	"R85 R84 R83 R82 R58 R60 R62 R64 R66 R68 R70 R72 R71 R69 R67 R65 R63 R61 R59 R57 R39 R38 "
50	402	18	"R36 R37 R40 R42 R43 R44 R45 R46 R47 R48 R49 R104 R107 R105 R108 R106 R109 R103 "
"180pf"	402	15	"C104 C106 C108 C110 C114 C116 C112 C118 C120 C122 C124 C126 C128 C130 C102 "
"1k"	402	15	"R89 R90 R91 R92 R94 R95 R93 R96 R97 R98 R99 R100 R101 R102 R88 "
"50k"	402	15	"R8 R21 R22 R23 R18 R24 R19 R20 R25 R29 R30 R50 R51 R53 R55 "
"1uf"	402	14	"C69 C66 C40 C18 C7 C48 C32 C5 C3 C60 C39 C41 C61 C62 "
33	402	10	"R81 R16 R2 R1 R7 R52 R13 R14 R54 R56 "
"10k"	402	6	"R41 R26 R27 R28 R15 R17 "
"2.2uf"	402	6	"C95 C96 C98 C92 C34 C24 "
"22k"	402	5	"R86 R9 R10 R11 R12 "
49.9	402	4	"R35 R34 R33 R32 "
"0.01uf"	402	4	"C35 C30 C27 C25 "
"3.3k"	402	4	"R78 R77 R80 R79 "
"5k"	402	4	"R74 R73 R76 R75 "
"7pf"	402	4	"C16 C23 C22 C21 "
"18pf"	402	3	"C54 C53 C52 "
"33pf"	402	3	"C82 C83 C17 "
"1nf"	402	2	"C68 C67 "
"90k"	402	2	"R5 R6 "
"ferrite"	402	2	"L3 L4 "
"100pf"	402	1	"C51 "
"12.1k"	402	1	"R31 "
"180k"	402	1	"R3 "
"810k"	402	1	"R4 "
"94k"	402	1	"R87 "
"LED"	603	17	"D17 D2 D4 D6 D8 D10 D12 D14 D16 D15 D13 D11 D9 D7 D5 D3 D1 "
"22uh"	603	15	"L6 L7 L8 L9 L11 L12 L10 L13 L14 L15 L16 L17 L18 L19 L5 "
"10uf"	603	10	"C65 C94 C100 C19 C20 C4 C43 C29 C45 C44 "
"Mosfet"	"S-MINI-3P"	15	"U51 U53 U55 U57 U61 U63 U59 U65 U67 U69 U71 U73 U75 U77 U49 "
"MAX6711Z"	"SC-70-4"	1	"U20 "
"MIC5365-2.5"	"SC-70-5"	2	"U27 U14 "
"TC1016-3.0"	"SC-70-5"	1	"U45 "
"MCP4017"	"SC-70-6"	1	"U32 "
"BAT54"	"SOT-23"	17	"D22 D24 D26 D28 D32 D34 D30 D36 D38 D40 D42 D44 D46 D48 D18 D19 D20 "
"LT1615"	"SOT-23-5"	15	"U50 U52 U54 U56 U60 U62 U58 U64 U66 U68 U70 U72 U74 U76 U48 "
"USBLC6"	"SOT-23-6"	1	"U11 "
"zener"	"SOT-323"	15	"D23 D25 D27 D29 D33 D35 D31 D37 D39 D41 D43 D45 D47 D49 D21 "
			
			
"HAND"			
"2.2uh"	1210	2	"L1 L2 "
"200uf"	2917	4	"C70 C71 C73 C93 "
"150uf"	2917	1	"C1 "
"10X100"	"11x100mil"	1	"U31 "
"BATTERY"	"18650-holder"	1	"BT1 "
"TP"	"2.9mm_hole"	8	"TP1 TP2 TP3 TP4 TP41 TP40 TP39 TP38 "
"EN_VCC"	"2x100mil"	1	"U8 "
"EN_VDD"	"2x100mil"	1	"U10 "
"VEE"	"2x100mil"	1	"U2 "
"TESTCON"	"7x100mil"	1	"U21 "
"ADSP_JTAG_CON"	"7x2x100"	1	"U16 "
"NRF24L01-BREAK"	"8x100mil"	3	"U24 U25 U26 "
"ABM10XTAL-24"	"ABM10"	1	"U12 "
"ABM10XTAL-25"	"ABM10"	1	"U9 "
"Designed in Kicadocaml"	"DB9"	1	"U1 "
"DCP01DB"	"DIP-14-7"	1	"U46 "
"FCI_USB_B"	"FCI_USB_B"	1	"U6 "
"GT12MABE"	"GT12MABE"	2	"U34 U5 "
"BF527"	"MBGA-208"	1	"U13 "
"AD5663"	"MSOP-10"	1	"U28 "
"9X100"	"omnetics_9"	1	"U43 "
"TPS62410"	"QFN-10"	1	"U4 "
"LAN8710A"	"QFN-32"	1	"U17 "
"6533-CONN"	"SCSI68"	1	"U33 "
"SFE-MAGJACK"	"SFE-MAGJACK"	1	"U19 "
"AUDIO_JACK"	"SJ1-3533"	1	"U30 "
"IL715-3"	"SOIC-16"	9	"U35 U36 U38 U37 U41 U42 U40 U39 U47 "
"LT1721"	"SOIC-16"	1	"U44 "
"LM4808"	"SOIC-8"	1	"U29 "
"SST25VF040B"	"SOIC-8"	1	"U15 "
"ADM3202"	"TSSOP-16"	1	"U3 "
"74LCX541"	"TSSOP-20"	3	"U18 U23 U22 "
"MT48LC16M16A2"	"VFBGA-54"	1	"U7 "
