"value","footprint","count","references",,
"0.1uf",402,23,"C41 C40 C39 C49 C48 C47 C57 C56 C55 C65 C64 C63 C3 C8 C16 C18 C19 C20 C21 C22 C4 C2 C68 ",,
200,402,22,"R41 R40 R42 R35 R36 R53 R52 R54 R47 R48 R65 R64 R66 R59 R60 R77 R76 R78 R71 R72 R79 R80 ",,
"2.2uf",402,20,"C37 C36 C35 C38 C42 C45 C44 C43 C46 C50 C53 C52 C51 C54 C58 C61 C60 C59 C62 C66 ",,
"22k",402,9,"R30 R28 R21 R17 R26 R29 R23 R81 R82 ",,
"15k",402,4,"R37 R49 R61 R73 ",,
"24.9k",402,4,"R38 R50 R62 R74 ",,
"7k",402,4,"R39 R51 R63 R75 ",,
"0.001uf",402,3,"C26 C24 C23 ",,
"1uf",402,3,"C30 C9 C67 ",,
"0.01uf",402,2,"C27 C7 ",,
"4.7pF",402,2,"C17 C28 ",,
"1.5pF",402,1,"C29 ",,
"165k",402,1,"R15 ",,
"1pF",402,1,"C31 ",,
"2.2nF",402,1,"C32 ",,
"2.7nH",402,1,"L5 ",,
"200k",402,1,"R13 ",,
"270k",402,1,"R16 ",1,"Designed in Kicadocaml "
"3.9nH",402,1,"L4 ",,
"33pf",402,1,"C11 ",,
"47nf",402,1,"C25 ",,
"725k",402,1,"R14 ",,
"7pf",402,1,"C14 ",,
"8.2nH",402,1,"L3 ",,
"ferrite",402,1,"L6 ",,
"10uf",603,6,"C12 C13 C6 C10 C15 C1 ",,
"LED","D0603",1,"D1 ",,
"MAX6711Z","SC-70-4",1,"U11 ",,
"MIC5365-2.7","SC-70-5",4,"U15 U22 U29 U36 ",,
"TC1016-3.0","SC-70-5",4,"U16 U23 U30 U37 ",,
"ADCS7476","SOT-23-6",4,"U19 U26 U33 U40 ",,
